episode,alpha_emp,A_action,B_action,r1,r2,r1_shaped,r2_shaped,total_reward,epsilon_A,epsilon_B,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.995,0.995,1,,
2,0.2,C,D,0,5,4.0,1.0,5,0.990025,0.990025,0,,
3,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.985074875,0.985074875,1,,
4,0.2,C,D,0,5,4.0,1.0,5,0.9801495006250001,0.9801495006250001,0,,
5,0.2,C,D,0,5,4.0,1.0,5,0.9752487531218751,0.9752487531218751,0,,
6,0.2,C,D,0,5,4.0,1.0,5,0.9703725093562657,0.9703725093562657,0,,
7,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.9655206468094844,0.9655206468094844,1,,
8,0.2,D,C,5,0,1.0,4.0,5,0.960693043575437,0.960693043575437,0,,
9,0.2,D,C,5,0,1.0,4.0,5,0.9558895783575597,0.9558895783575597,0,,
10,0.2,C,D,0,5,4.0,1.0,5,0.9511101304657719,0.9511101304657719,0,,
11,0.2,C,D,0,5,4.0,1.0,5,0.946354579813443,0.946354579813443,0,,
12,0.2,D,D,1,1,1.0,1.0,2,0.9416228069143757,0.9416228069143757,0,,
13,0.2,C,D,0,5,4.0,1.0,5,0.9369146928798039,0.9369146928798039,0,,
14,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.9322301194154049,0.9322301194154049,1,,
15,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.9275689688183278,0.9275689688183278,1,,
16,0.2,D,D,1,1,1.0,1.0,2,0.9229311239742362,0.9229311239742362,0,,
17,0.2,D,C,5,0,1.0,4.0,5,0.918316468354365,0.918316468354365,0,,
18,0.2,D,C,5,0,1.0,4.0,5,0.9137248860125932,0.9137248860125932,0,,
19,0.2,D,C,5,0,1.0,4.0,5,0.9091562615825302,0.9091562615825302,0,,
20,0.2,D,C,5,0,1.0,4.0,5,0.9046104802746175,0.9046104802746175,0,,
21,0.2,D,D,1,1,1.0,1.0,2,0.9000874278732445,0.9000874278732445,0,,
22,0.2,C,D,0,5,4.0,1.0,5,0.8955869907338783,0.8955869907338783,0,,
23,0.2,C,D,0,5,4.0,1.0,5,0.8911090557802088,0.8911090557802088,0,,
24,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8866535105013078,0.8866535105013078,1,,
25,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8822202429488013,0.8822202429488013,1,,
26,0.2,D,D,1,1,1.0,1.0,2,0.8778091417340573,0.8778091417340573,0,,
27,0.2,D,C,5,0,1.0,4.0,5,0.8734200960253871,0.8734200960253871,0,,
28,0.2,D,C,5,0,1.0,4.0,5,0.8690529955452602,0.8690529955452602,0,,
29,0.2,D,C,5,0,1.0,4.0,5,0.8647077305675338,0.8647077305675338,0,,
30,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8603841919146962,0.8603841919146962,1,,
31,0.2,C,D,0,5,4.0,1.0,5,0.8560822709551227,0.8560822709551227,0,,
32,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.851801859600347,0.851801859600347,1,,
33,0.2,D,D,1,1,1.0,1.0,2,0.8475428503023453,0.8475428503023453,0,,
34,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8433051360508336,0.8433051360508336,1,,
35,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8390886103705794,0.8390886103705794,1,,
36,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8348931673187264,0.8348931673187264,1,,
37,0.2,D,D,1,1,1.0,1.0,2,0.8307187014821328,0.8307187014821328,0,,
38,0.2,C,D,0,5,4.0,1.0,5,0.8265651079747222,0.8265651079747222,0,,
39,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8224322824348486,0.8224322824348486,1,,
40,0.2,D,C,5,0,1.0,4.0,5,0.8183201210226743,0.8183201210226743,0,,
41,0.2,D,C,5,0,1.0,4.0,5,0.8142285204175609,0.8142285204175609,0,,
42,0.2,D,C,5,0,1.0,4.0,5,0.810157377815473,0.810157377815473,0,,
43,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8061065909263957,0.8061065909263957,1,,
44,0.2,D,C,5,0,1.0,4.0,5,0.8020760579717637,0.8020760579717637,0,,
45,0.2,D,C,5,0,1.0,4.0,5,0.798065677681905,0.798065677681905,0,,
46,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7940753492934954,0.7940753492934954,1,,
47,0.2,C,D,0,5,4.0,1.0,5,0.7901049725470279,0.7901049725470279,0,,
48,0.2,C,D,0,5,4.0,1.0,5,0.7861544476842928,0.7861544476842928,0,,
49,0.2,D,C,5,0,1.0,4.0,5,0.7822236754458713,0.7822236754458713,0,,
50,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.778312557068642,0.778312557068642,1,,
51,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7744209942832988,0.7744209942832988,1,,
52,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7705488893118823,0.7705488893118823,1,,
53,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7666961448653229,0.7666961448653229,1,,
54,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7628626641409962,0.7628626641409962,1,,
55,0.2,D,D,1,1,1.0,1.0,2,0.7590483508202912,0.7590483508202912,0,,
56,0.2,C,D,0,5,4.0,1.0,5,0.7552531090661897,0.7552531090661897,0,,
57,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7514768435208588,0.7514768435208588,1,,
58,0.2,D,D,1,1,1.0,1.0,2,0.7477194593032545,0.7477194593032545,0,,
59,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7439808620067382,0.7439808620067382,1,,
60,0.2,D,C,5,0,1.0,4.0,5,0.7402609576967045,0.7402609576967045,0,,
61,0.2,D,C,5,0,1.0,4.0,5,0.736559652908221,0.736559652908221,0,,
62,0.2,D,D,1,1,1.0,1.0,2,0.7328768546436799,0.7328768546436799,0,,
63,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7292124703704616,0.7292124703704616,1,,
64,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7255664080186093,0.7255664080186093,1,,
65,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7219385759785162,0.7219385759785162,1,,
66,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7183288830986236,0.7183288830986236,1,,
67,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7147372386831305,0.7147372386831305,1,,
68,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7111635524897149,0.7111635524897149,1,,
69,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.7076077347272662,0.7076077347272662,1,,
70,0.2,D,C,5,0,1.0,4.0,5,0.7040696960536299,0.7040696960536299,0,,
