episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.2,0,2,2,1,0.0,2.0,2.0,1.0,1.3333,1.2,1.2,1.2667,0.995,0.995,0.995,0.995,5,7,5.0,0,,
2,0.2,0,1,0,1,0.0,1.0,0.0,1.0,0.5333,0.4667,0.5333,0.4667,0.99,0.99,0.99,0.99,2,7,2.0,1,,
3,0.2,2,2,0,0,2.0,2.0,0.0,0.0,0.9333,0.9333,1.0667,1.0667,0.9851,0.9851,0.9851,0.9851,4,5,4.0,1,,
4,0.2,2,1,0,0,2.0,1.0,0.0,0.0,0.6667,0.7333,0.8,0.8,0.9801,0.9801,0.9801,0.9801,3,4,3.0,1,,
5,0.2,0,2,0,0,0.0,2.0,0.0,0.0,0.5333,0.4,0.5333,0.5333,0.9752,0.9752,0.9752,0.9752,2,4,2.0,1,,
6,0.2,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9704,0.9704,0.9704,0.9704,5,1,-2.0,0,,
7,0.2,0,2,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9655,0.9655,0.9655,0.9655,5,0,-2.0,0,,
8,0.2,2,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9607,0.9607,0.9607,0.9607,6,0,-2.0,0,,
9,0.2,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9559,0.9559,0.9559,0.9559,5,0,-2.0,0,,
10,0.2,2,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9511,0.9511,0.9511,0.9511,5,0,-2.0,0,,
11,0.2,0,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9464,0.9464,0.9464,0.9464,3,0,-2.0,1,,
12,0.2,1,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9416,0.9416,0.9416,0.9416,3,0,-2.0,1,,
13,0.2,0,1,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9369,0.9369,0.9369,0.9369,3,0,-2.0,1,,
14,0.2,0,1,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9322,0.9322,0.9322,0.9322,3,0,-2.0,1,,
15,0.2,1,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9276,0.9276,0.9276,0.9276,7,0,-2.0,0,,
16,0.2,0,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9229,0.9229,0.9229,0.9229,1,1,-2.0,1,,
17,0.2,1,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9183,0.9183,0.9183,0.9183,2,1,-2.0,1,,
18,0.2,0,0,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9137,0.9137,0.9137,0.9137,2,1,-2.0,1,,
19,0.2,1,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9092,0.9092,0.9092,0.9092,3,0,-2.0,1,,
20,0.2,2,1,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9046,0.9046,0.9046,0.9046,6,0,-2.0,0,,
21,0.2,0,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9001,0.9001,0.9001,0.9001,2,0,-2.0,1,,
22,0.2,2,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8956,0.8956,0.8956,0.8956,6,0,-2.0,0,,
23,0.2,1,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8911,0.8911,0.8911,0.8911,5,0,-2.0,0,,
24,0.2,1,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8867,0.8867,0.8867,0.8867,7,0,-2.0,0,,
25,0.2,2,1,2,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8822,0.8822,0.8822,0.8822,6,0,-2.0,0,,
26,0.2,1,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8778,0.8778,0.8778,0.8778,2,0,-2.0,1,,
27,0.2,0,1,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8734,0.8734,0.8734,0.8734,3,0,-2.0,1,,
28,0.2,0,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8691,0.8691,0.8691,0.8691,6,0,-2.0,0,,
29,0.2,1,2,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8647,0.8647,0.8647,0.8647,4,0,-2.0,1,,
30,0.2,2,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8604,0.8604,0.8604,0.8604,7,0,-2.0,0,,
31,0.2,0,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8561,0.8561,0.8561,0.8561,1,1,-2.0,1,,
32,0.2,1,0,2,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8518,0.8518,0.8518,0.8518,4,0,-2.0,1,,
33,0.2,1,0,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8475,0.8475,0.8475,0.8475,2,0,-2.0,1,,
34,0.2,1,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8433,0.8433,0.8433,0.8433,5,0,-2.0,0,,
35,0.2,1,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8391,0.8391,0.8391,0.8391,7,0,-2.0,0,,
36,0.2,2,2,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8349,0.8349,0.8349,0.8349,6,0,-2.0,0,,
37,0.2,2,1,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8307,0.8307,0.8307,0.8307,6,0,-2.0,0,,
38,0.2,2,2,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8266,0.8266,0.8266,0.8266,7,0,-2.0,0,,
39,0.2,0,0,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8224,0.8224,0.8224,0.8224,2,0,-2.0,1,,
40,0.2,1,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8183,0.8183,0.8183,0.8183,1,1,-2.0,1,,
41,0.2,2,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8142,0.8142,0.8142,0.8142,4,0,-2.0,1,,
42,0.2,2,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8102,0.8102,0.8102,0.8102,2,0,-2.0,1,,
43,0.2,1,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8061,0.8061,0.8061,0.8061,7,0,-2.0,0,,
44,0.2,0,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8021,0.8021,0.8021,0.8021,4,0,-2.0,1,,
