episode,alpha_emp,A_action,B_action,r1,r2,r1_shaped,r2_shaped,total_reward,epsilon_A,epsilon_B,coop_flag,moving_avg_coop,moving_avg_total_reward,social_regret,cumulative_social_regret,avg_social_regret,regret_a1,cumulative_regret_a1,avg_regret_a1,regret_a2,cumulative_regret_a2,avg_regret_a2
1,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.995,0.995,1,,,0.0,0.0,0.0,2,2.0,2.0,2,2.0,2.0
2,0.2,C,D,0,5,4.0,1.0,5,0.990025,0.990025,0,,,1.0,1.0,0.5,1,3.0,1.5,0,2.0,1.0
3,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.985074875,0.985074875,1,,,0.0,1.0,0.3333333333333333,2,5.0,1.6666666666666667,2,4.0,1.3333333333333333
4,0.2,C,D,0,5,4.0,1.0,5,0.9801495006250001,0.9801495006250001,0,,,1.0,2.0,0.5,1,6.0,1.5,0,4.0,1.0
5,0.2,C,D,0,5,4.0,1.0,5,0.9752487531218751,0.9752487531218751,0,,,1.0,3.0,0.6,1,7.0,1.4,0,4.0,0.8
6,0.2,C,D,0,5,4.0,1.0,5,0.9703725093562657,0.9703725093562657,0,,,1.0,4.0,0.6666666666666666,1,8.0,1.3333333333333333,0,4.0,0.6666666666666666
7,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.9655206468094844,0.9655206468094844,1,,,0.0,4.0,0.5714285714285714,2,10.0,1.4285714285714286,2,6.0,0.8571428571428571
8,0.2,D,C,5,0,1.0,4.0,5,0.960693043575437,0.960693043575437,0,,,1.0,5.0,0.625,0,10.0,1.25,1,7.0,0.875
9,0.2,D,C,5,0,1.0,4.0,5,0.9558895783575597,0.9558895783575597,0,,,1.0,6.0,0.6666666666666666,0,10.0,1.1111111111111112,1,8.0,0.8888888888888888
10,0.2,C,D,0,5,4.0,1.0,5,0.9511101304657719,0.9511101304657719,0,,,1.0,7.0,0.7,1,11.0,1.1,0,8.0,0.8
11,0.2,C,D,0,5,4.0,1.0,5,0.946354579813443,0.946354579813443,0,,,1.0,8.0,0.7272727272727273,1,12.0,1.0909090909090908,0,8.0,0.7272727272727273
12,0.2,D,D,1,1,1.0,1.0,2,0.9416228069143757,0.9416228069143757,0,,,4.0,12.0,1.0,0,12.0,1.0,0,8.0,0.6666666666666666
13,0.2,C,D,0,5,4.0,1.0,5,0.9369146928798039,0.9369146928798039,0,,,1.0,13.0,1.0,1,13.0,1.0,0,8.0,0.6153846153846154
14,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.9322301194154049,0.9322301194154049,1,,,0.0,13.0,0.9285714285714286,2,15.0,1.0714285714285714,2,10.0,0.7142857142857143
15,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.9275689688183278,0.9275689688183278,1,,,0.0,13.0,0.8666666666666667,2,17.0,1.1333333333333333,2,12.0,0.8
16,0.2,D,D,1,1,1.0,1.0,2,0.9229311239742362,0.9229311239742362,0,,,4.0,17.0,1.0625,0,17.0,1.0625,0,12.0,0.75
17,0.2,D,C,5,0,1.0,4.0,5,0.918316468354365,0.918316468354365,0,,,1.0,18.0,1.0588235294117647,0,17.0,1.0,1,13.0,0.7647058823529411
18,0.2,D,C,5,0,1.0,4.0,5,0.9137248860125932,0.9137248860125932,0,,,1.0,19.0,1.0555555555555556,0,17.0,0.9444444444444444,1,14.0,0.7777777777777778
19,0.2,D,C,5,0,1.0,4.0,5,0.9091562615825302,0.9091562615825302,0,,,1.0,20.0,1.0526315789473684,0,17.0,0.8947368421052632,1,15.0,0.7894736842105263
20,0.2,D,C,5,0,1.0,4.0,5,0.9046104802746175,0.9046104802746175,0,,,1.0,21.0,1.05,0,17.0,0.85,1,16.0,0.8
21,0.2,D,D,1,1,1.0,1.0,2,0.9000874278732445,0.9000874278732445,0,,,4.0,25.0,1.1904761904761905,0,17.0,0.8095238095238095,0,16.0,0.7619047619047619
22,0.2,C,D,0,5,4.0,1.0,5,0.8955869907338783,0.8955869907338783,0,,,1.0,26.0,1.1818181818181819,1,18.0,0.8181818181818182,0,16.0,0.7272727272727273
23,0.2,C,D,0,5,4.0,1.0,5,0.8911090557802088,0.8911090557802088,0,,,1.0,27.0,1.173913043478261,1,19.0,0.8260869565217391,0,16.0,0.6956521739130435
24,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8866535105013078,0.8866535105013078,1,,,0.0,27.0,1.125,2,21.0,0.875,2,18.0,0.75
25,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8822202429488013,0.8822202429488013,1,,,0.0,27.0,1.08,2,23.0,0.92,2,20.0,0.8
26,0.2,D,D,1,1,1.0,1.0,2,0.8778091417340573,0.8778091417340573,0,,,4.0,31.0,1.1923076923076923,0,23.0,0.8846153846153846,0,20.0,0.7692307692307693
27,0.2,D,C,5,0,1.0,4.0,5,0.8734200960253871,0.8734200960253871,0,,,1.0,32.0,1.1851851851851851,0,23.0,0.8518518518518519,1,21.0,0.7777777777777778
28,0.2,D,C,5,0,1.0,4.0,5,0.8690529955452602,0.8690529955452602,0,,,1.0,33.0,1.1785714285714286,0,23.0,0.8214285714285714,1,22.0,0.7857142857142857
29,0.2,D,C,5,0,1.0,4.0,5,0.8647077305675338,0.8647077305675338,0,,,1.0,34.0,1.1724137931034482,0,23.0,0.7931034482758621,1,23.0,0.7931034482758621
30,0.2,C,C,3,3,3.0000000000000004,3.0000000000000004,6,0.8603841919146962,0.8603841919146962,1,,,0.0,34.0,1.1333333333333333,2,25.0,0.8333333333333334,2,25.0,0.8333333333333334
