episode,alpha_emp,N,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,1.0,2,C,C,3.0,3.0,3.0,3.0,0.995,0.995,6.0,1,,
2,1.0,2,C,D,0.0,5.0,0.0,5.0,0.99,0.99,5.0,0,,
3,1.0,2,C,C,3.0,3.0,3.0,3.0,0.9851,0.9851,6.0,1,,
4,1.0,2,C,D,0.0,5.0,0.0,5.0,0.9801,0.9801,5.0,0,,
5,1.0,2,C,D,0.0,5.0,0.0,5.0,0.9752,0.9752,5.0,0,,
6,1.0,2,C,D,0.0,5.0,0.0,5.0,0.9704,0.9704,5.0,0,,
7,1.0,2,C,C,3.0,3.0,3.0,3.0,0.9655,0.9655,6.0,1,,
8,1.0,2,D,C,5.0,0.0,5.0,0.0,0.9607,0.9607,5.0,0,,
9,1.0,2,D,C,5.0,0.0,5.0,0.0,0.9559,0.9559,5.0,0,,
10,1.0,2,C,D,0.0,5.0,0.0,5.0,0.9511,0.9511,5.0,0,,
11,1.0,2,C,D,0.0,5.0,0.0,5.0,0.9464,0.9464,5.0,0,,
12,1.0,2,D,D,1.0,1.0,1.0,1.0,0.9416,0.9416,2.0,0,,
13,1.0,2,C,D,0.0,5.0,0.0,5.0,0.9369,0.9369,5.0,0,,
14,1.0,2,C,C,3.0,3.0,3.0,3.0,0.9322,0.9322,6.0,1,,
15,1.0,2,D,C,5.0,0.0,5.0,0.0,0.9276,0.9276,5.0,0,,
16,1.0,2,D,D,1.0,1.0,1.0,1.0,0.9229,0.9229,2.0,0,,
17,1.0,2,C,C,3.0,3.0,3.0,3.0,0.9183,0.9183,6.0,1,,
18,1.0,2,C,C,3.0,3.0,3.0,3.0,0.9137,0.9137,6.0,1,,
19,1.0,2,D,D,1.0,1.0,1.0,1.0,0.9092,0.9092,2.0,0,,
20,1.0,2,D,D,1.0,1.0,1.0,1.0,0.9046,0.9046,2.0,0,,
21,1.0,2,D,D,1.0,1.0,1.0,1.0,0.9001,0.9001,2.0,0,,
22,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8956,0.8956,5.0,0,,
23,1.0,2,C,C,3.0,3.0,3.0,3.0,0.8911,0.8911,6.0,1,,
24,1.0,2,C,C,3.0,3.0,3.0,3.0,0.8867,0.8867,6.0,1,,
25,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8822,0.8822,5.0,0,,
26,1.0,2,D,C,5.0,0.0,5.0,0.0,0.8778,0.8778,5.0,0,,
27,1.0,2,D,C,5.0,0.0,5.0,0.0,0.8734,0.8734,5.0,0,,
28,1.0,2,D,D,1.0,1.0,1.0,1.0,0.8691,0.8691,2.0,0,,
29,1.0,2,D,D,1.0,1.0,1.0,1.0,0.8647,0.8647,2.0,0,,
30,1.0,2,C,C,3.0,3.0,3.0,3.0,0.8604,0.8604,6.0,1,,
31,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8561,0.8561,5.0,0,,
32,1.0,2,C,C,3.0,3.0,3.0,3.0,0.8518,0.8518,6.0,1,,
33,1.0,2,D,C,5.0,0.0,5.0,0.0,0.8475,0.8475,5.0,0,,
34,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8433,0.8433,5.0,0,,
35,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8391,0.8391,5.0,0,,
36,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8349,0.8349,5.0,0,,
37,1.0,2,D,C,5.0,0.0,5.0,0.0,0.8307,0.8307,5.0,0,,
38,1.0,2,C,C,3.0,3.0,3.0,3.0,0.8266,0.8266,6.0,1,,
39,1.0,2,D,D,1.0,1.0,1.0,1.0,0.8224,0.8224,2.0,0,,
40,1.0,2,D,C,5.0,0.0,5.0,0.0,0.8183,0.8183,5.0,0,,
41,1.0,2,D,D,1.0,1.0,1.0,1.0,0.8142,0.8142,2.0,0,,
42,1.0,2,C,D,0.0,5.0,0.0,5.0,0.8102,0.8102,5.0,0,,
43,1.0,2,D,D,1.0,1.0,1.0,1.0,0.8061,0.8061,2.0,0,,
44,1.0,2,D,D,1.0,1.0,1.0,1.0,0.8021,0.8021,2.0,0,,
45,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7981,0.7981,5.0,0,,
46,1.0,2,C,C,3.0,3.0,3.0,3.0,0.7941,0.7941,6.0,1,,
47,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7901,0.7901,5.0,0,,
48,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7862,0.7862,5.0,0,,
49,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7822,0.7822,5.0,0,,
50,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7783,0.7783,5.0,0,,
51,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7744,0.7744,5.0,0,,
52,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7705,0.7705,5.0,0,,
53,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7667,0.7667,5.0,0,,
54,1.0,2,C,C,3.0,3.0,3.0,3.0,0.7629,0.7629,6.0,1,,
55,1.0,2,D,D,1.0,1.0,1.0,1.0,0.759,0.759,2.0,0,,
56,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7553,0.7553,5.0,0,,
57,1.0,2,D,D,1.0,1.0,1.0,1.0,0.7515,0.7515,2.0,0,,
58,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7477,0.7477,5.0,0,,
59,1.0,2,D,D,1.0,1.0,1.0,1.0,0.744,0.744,2.0,0,,
60,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7403,0.7403,5.0,0,,
61,1.0,2,C,C,3.0,3.0,3.0,3.0,0.7366,0.7366,6.0,1,,
62,1.0,2,D,D,1.0,1.0,1.0,1.0,0.7329,0.7329,2.0,0,,
63,1.0,2,D,D,1.0,1.0,1.0,1.0,0.7292,0.7292,2.0,0,,
64,1.0,2,C,D,0.0,5.0,0.0,5.0,0.7256,0.7256,5.0,0,,
65,1.0,2,C,C,3.0,3.0,3.0,3.0,0.7219,0.7219,6.0,1,,
66,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7183,0.7183,5.0,0,,
67,1.0,2,D,D,1.0,1.0,1.0,1.0,0.7147,0.7147,2.0,0,,
68,1.0,2,D,D,1.0,1.0,1.0,1.0,0.7112,0.7112,2.0,0,,
69,1.0,2,C,C,3.0,3.0,3.0,3.0,0.7076,0.7076,6.0,1,,
70,1.0,2,D,D,1.0,1.0,1.0,1.0,0.7041,0.7041,2.0,0,,
71,1.0,2,D,C,5.0,0.0,5.0,0.0,0.7005,0.7005,5.0,0,,
72,1.0,2,D,C,5.0,0.0,5.0,0.0,0.697,0.697,5.0,0,,
73,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6936,0.6936,5.0,0,,
74,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6901,0.6901,5.0,0,,
75,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6866,0.6866,2.0,0,,
76,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6832,0.6832,2.0,0,,
77,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6798,0.6798,2.0,0,,
78,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6764,0.6764,5.0,0,,
79,1.0,2,D,C,5.0,0.0,5.0,0.0,0.673,0.673,5.0,0,,
80,1.0,2,C,C,3.0,3.0,3.0,3.0,0.6696,0.6696,6.0,1,,
81,1.0,2,C,D,0.0,5.0,0.0,5.0,0.6663,0.6663,5.0,0,,
82,1.0,2,C,D,0.0,5.0,0.0,5.0,0.663,0.663,5.0,0,,
83,1.0,2,C,D,0.0,5.0,0.0,5.0,0.6597,0.6597,5.0,0,,
84,1.0,2,C,D,0.0,5.0,0.0,5.0,0.6564,0.6564,5.0,0,,
85,1.0,2,C,D,0.0,5.0,0.0,5.0,0.6531,0.6531,5.0,0,,
86,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6498,0.6498,2.0,0,,
87,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6466,0.6466,5.0,0,,
88,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6433,0.6433,5.0,0,,
89,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6401,0.6401,2.0,0,,
90,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6369,0.6369,2.0,0,,
91,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6337,0.6337,5.0,0,,
92,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6306,0.6306,5.0,0,,
93,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6274,0.6274,2.0,0,,
94,1.0,2,C,D,0.0,5.0,0.0,5.0,0.6243,0.6243,5.0,0,,
95,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6211,0.6211,2.0,0,,
96,1.0,2,D,D,1.0,1.0,1.0,1.0,0.618,0.618,2.0,0,,
97,1.0,2,D,C,5.0,0.0,5.0,0.0,0.6149,0.6149,5.0,0,,
98,1.0,2,C,D,0.0,5.0,0.0,5.0,0.6119,0.6119,5.0,0,,
99,1.0,2,C,C,3.0,3.0,3.0,3.0,0.6088,0.6088,6.0,1,,
100,1.0,2,D,D,1.0,1.0,1.0,1.0,0.6058,0.6058,2.0,0,0.18,4.31
101,1.0,2,C,C,3.0,3.0,3.0,3.0,0.6027,0.6027,6.0,1,0.18,4.31
102,1.0,2,C,D,0.0,5.0,0.0,5.0,0.5997,0.5997,5.0,0,0.18,4.31
103,1.0,2,C,D,0.0,5.0,0.0,5.0,0.5967,0.5967,5.0,0,0.17,4.3
104,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5937,0.5937,2.0,0,0.17,4.27
105,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5908,0.5908,2.0,0,0.17,4.24
106,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5878,0.5878,5.0,0,0.17,4.24
107,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5849,0.5849,2.0,0,0.16,4.2
108,1.0,2,D,D,1.0,1.0,1.0,1.0,0.582,0.582,2.0,0,0.16,4.17
109,1.0,2,D,C,5.0,0.0,5.0,0.0,0.579,0.579,5.0,0,0.16,4.17
