step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
1,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.995,0.995,0.995,0.995,"('C', 'C', 'C', 'D')",11.0,0,,,,
2,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.99,0.99,0.99,0.99,"('C', 'D', 'C', 'D')",9.3333,0,,,,
3,pd_N4,matrix,4,0.5,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.9851,0.9851,0.9851,0.9851,"('C', 'C', 'C', 'C')",12.0,1,,,,
4,pd_N4,matrix,4,0.5,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.9801,0.9801,0.9801,0.9801,"('C', 'D', 'C', 'C')",11.0,0,,,,
5,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.9752,0.9752,0.9752,0.9752,"('C', 'D', 'D', 'C')",9.3333,0,,,,
6,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.9704,0.9704,0.9704,0.9704,"('C', 'D', 'D', 'C')",9.3333,0,,,,
7,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.9655,0.9655,0.9655,0.9655,"('C', 'C', 'D', 'C')",11.0,0,,,,
8,pd_N4,matrix,4,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.9607,0.9607,0.9607,0.9607,"('D', 'C', 'D', 'C')",9.3333,0,,,,
9,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.9559,0.9559,0.9559,0.9559,"('D', 'C', 'C', 'D')",9.3333,0,,,,
10,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.9511,0.9511,0.9511,0.9511,"('C', 'D', 'C', 'D')",9.3333,0,,,,
11,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.9464,0.9464,0.9464,0.9464,"('C', 'D', 'D', 'C')",9.3333,0,,,,
12,pd_N4,matrix,4,0.5,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.9416,0.9416,0.9416,0.9416,"('D', 'D', 'D', 'C')",7.0,0,,,,
13,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.9369,0.9369,0.9369,0.9369,"('C', 'D', 'D', 'D')",7.0,0,,,,
14,pd_N4,matrix,4,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.9322,0.9322,0.9322,0.9322,"('D', 'C', 'D', 'D')",7.0,0,,,,
15,pd_N4,matrix,4,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.9276,0.9276,0.9276,0.9276,"('D', 'C', 'D', 'C')",9.3333,0,,,,
16,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.9229,0.9229,0.9229,0.9229,"('D', 'D', 'C', 'D')",7.0,0,,,,
17,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.9183,0.9183,0.9183,0.9183,"('C', 'C', 'C', 'D')",11.0,0,,,,
18,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.9137,0.9137,0.9137,0.9137,"('C', 'C', 'C', 'D')",11.0,0,,,,
19,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.9092,0.9092,0.9092,0.9092,"('C', 'C', 'D', 'C')",11.0,0,,,,
20,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9046,0.9046,0.9046,0.9046,"('D', 'D', 'D', 'D')",4.0,0,,,,
21,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9001,0.9001,0.9001,0.9001,"('D', 'D', 'D', 'D')",4.0,0,,,,
22,pd_N4,matrix,4,0.5,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.8956,0.8956,0.8956,0.8956,"('C', 'D', 'C', 'C')",11.0,0,,,,
23,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.8911,0.8911,0.8911,0.8911,"('C', 'C', 'D', 'D')",9.3333,0,,,,
24,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.8867,0.8867,0.8867,0.8867,"('C', 'C', 'D', 'D')",9.3333,0,,,,
25,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.8822,0.8822,0.8822,0.8822,"('C', 'D', 'C', 'D')",9.3333,0,,,,
26,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.8778,0.8778,0.8778,0.8778,"('D', 'C', 'C', 'D')",9.3333,0,,,,
27,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.8734,0.8734,0.8734,0.8734,"('D', 'C', 'C', 'D')",9.3333,0,,,,
28,pd_N4,matrix,4,0.5,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.8691,0.8691,0.8691,0.8691,"('D', 'D', 'D', 'C')",7.0,0,,,,
29,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8647,0.8647,0.8647,0.8647,"('D', 'D', 'D', 'D')",4.0,0,,,,
30,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.8604,0.8604,0.8604,0.8604,"('C', 'C', 'D', 'C')",11.0,0,,,,
31,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.8561,0.8561,0.8561,0.8561,"('C', 'D', 'D', 'D')",7.0,0,,,,
32,pd_N4,matrix,4,0.5,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.8518,0.8518,0.8518,0.8518,"('C', 'C', 'C', 'C')",12.0,1,,,,
33,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.8475,0.8475,0.8475,0.8475,"('D', 'C', 'C', 'D')",9.3333,0,,,,
34,pd_N4,matrix,4,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.8433,0.8433,0.8433,0.8433,"('C', 'D', 'C', 'D')",9.3333,0,,,,
35,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.8391,0.8391,0.8391,0.8391,"('C', 'D', 'D', 'D')",7.0,0,,,,
36,pd_N4,matrix,4,0.5,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.8349,0.8349,0.8349,0.8349,"('C', 'D', 'C', 'C')",11.0,0,,,,
37,pd_N4,matrix,4,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.8307,0.8307,0.8307,0.8307,"('D', 'C', 'D', 'C')",9.3333,0,,,,
38,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.8266,0.8266,0.8266,0.8266,"('C', 'C', 'D', 'C')",11.0,0,,,,
39,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8224,0.8224,0.8224,0.8224,"('D', 'D', 'D', 'D')",4.0,0,,,,
40,pd_N4,matrix,4,0.5,D,C,C,C,5.0,2.0,2.0,2.0,3.5,2.5,2.5,2.5,0.8183,0.8183,0.8183,0.8183,"('D', 'C', 'C', 'C')",11.0,0,,,,
41,pd_N4,matrix,4,0.5,D,D,C,C,3.6667,3.6667,1.0,1.0,2.7778,2.7778,1.8889,1.8889,0.8142,0.8142,0.8142,0.8142,"('D', 'D', 'C', 'C')",9.3333,0,,,,
42,pd_N4,matrix,4,0.5,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.8102,0.8102,0.8102,0.8102,"('C', 'D', 'C', 'C')",11.0,0,,,,
43,pd_N4,matrix,4,0.5,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.8061,0.8061,0.8061,0.8061,"('D', 'D', 'D', 'C')",7.0,0,,,,
44,pd_N4,matrix,4,0.5,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8021,0.8021,0.8021,0.8021,"('D', 'D', 'D', 'D')",4.0,0,,,,
45,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7981,0.7981,0.7981,0.7981,"('C', 'C', 'C', 'D')",11.0,0,,,,
46,pd_N4,matrix,4,0.5,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.7941,0.7941,0.7941,0.7941,"('C', 'C', 'D', 'D')",9.3333,0,,,,
47,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7901,0.7901,0.7901,0.7901,"('C', 'D', 'D', 'D')",7.0,0,,,,
48,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7862,0.7862,0.7862,0.7862,"('C', 'D', 'D', 'D')",7.0,0,,,,
49,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7822,0.7822,0.7822,0.7822,"('C', 'D', 'D', 'C')",9.3333,0,,,,
50,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7783,0.7783,0.7783,0.7783,"('C', 'D', 'D', 'C')",9.3333,0,,,,
51,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7744,0.7744,0.7744,0.7744,"('D', 'C', 'C', 'D')",9.3333,0,,,,
52,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7705,0.7705,0.7705,0.7705,"('D', 'C', 'C', 'D')",9.3333,0,,,,
