step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse
0,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,0,2,0,0,0.0,2.0,0.0,0.0,2.0,1,,0.75,10.0,0,,,,,,
1,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,1,2,1,0,1.0,2.0,1.0,0.0,4.0,1,,0.5,8.0,0,,,,,,
2,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,0,2,0,2,0.0,2.0,0.0,2.0,4.0,1,,1.0,6.0,0,,,,,,
3,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,2,2,1,2,-0.5,-0.5,-0.5,-0.5,-2.0,0,,0.0,1.0,0,,,,,,
4,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-2.0,0,,0.0,0.0,1,,,,,,
5,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,2,0,0,0,-0.5,-0.5,-0.5,-0.5,-2.0,1,,0.0,0.0,1,,,,,,
6,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,,0.0,2.0,0,,,,,,
7,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,1,1,1,2,-0.5,-0.5,-0.5,-0.5,-2.0,0,,0.0,0.0,1,,,,,,
8,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-2.0,0,,0.0,0.0,1,,,,,,
9,rs_N4,resource,4,empathy,1.0,,,1.0,1.0,1.0,1.0,1,2,0,0,-0.5,-0.5,-0.5,-0.5,-2.0,1,,0.0,0.0,1,,,,,,
