step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
1,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.995,0.995,0.995,0.995,"('S', 'S', 'S', 'H')",11.0,0,,,,
2,sh_N4,matrix,4,1.0,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,0.99,0.99,0.99,0.99,"('S', 'H', 'S', 'H')",8.0,0,,,,
3,sh_N4,matrix,4,1.0,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9851,0.9851,0.9851,0.9851,"('S', 'S', 'S', 'S')",16.0,1,,,,
4,sh_N4,matrix,4,1.0,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,0.9801,0.9801,0.9801,0.9801,"('S', 'H', 'S', 'S')",11.0,0,,,,
5,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.9752,0.9752,0.9752,0.9752,"('S', 'H', 'H', 'S')",8.0,0,,,,
6,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.9704,0.9704,0.9704,0.9704,"('S', 'H', 'H', 'S')",8.0,0,,,,
7,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.9655,0.9655,0.9655,0.9655,"('S', 'S', 'H', 'S')",11.0,0,,,,
8,sh_N4,matrix,4,1.0,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,0.9607,0.9607,0.9607,0.9607,"('H', 'S', 'H', 'S')",8.0,0,,,,
9,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.9559,0.9559,0.9559,0.9559,"('H', 'S', 'S', 'H')",8.0,0,,,,
10,sh_N4,matrix,4,1.0,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,0.9511,0.9511,0.9511,0.9511,"('S', 'H', 'S', 'H')",8.0,0,,,,
11,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.9464,0.9464,0.9464,0.9464,"('S', 'H', 'H', 'S')",8.0,0,,,,
12,sh_N4,matrix,4,1.0,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.9416,0.9416,0.9416,0.9416,"('H', 'H', 'H', 'S')",7.0,0,,,,
13,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.9369,0.9369,0.9369,0.9369,"('S', 'H', 'H', 'H')",7.0,0,,,,
14,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.9322,0.9322,0.9322,0.9322,"('H', 'S', 'H', 'H')",7.0,0,,,,
15,sh_N4,matrix,4,1.0,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,0.9276,0.9276,0.9276,0.9276,"('H', 'S', 'H', 'S')",8.0,0,,,,
16,sh_N4,matrix,4,1.0,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.9229,0.9229,0.9229,0.9229,"('H', 'H', 'S', 'H')",7.0,0,,,,
17,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.9183,0.9183,0.9183,0.9183,"('S', 'S', 'S', 'H')",11.0,0,,,,
