experiment,type,N,condition,n_seeds,ttc_mean,ttc_std
pd_N2,matrix,2,empathy α=1.00,10,,
pd_N2,matrix,2,empathy α=0.80,10,2213.667,2300.245
pd_N2,matrix,2,empathy α=0.50,10,669.4,854.403
pd_N2,matrix,2,empathy α=0.20,10,356.7,50.715
pd_N2,matrix,2,empathy α=0.00,10,338.3,38.546
pd_N2,matrix,2,team,10,669.4,854.403
pd_N2,matrix,2,random,10,,
pd_N2,matrix,2,hetero_fixed,10,336.0,22.701
pd_N2,matrix,2,learn_alpha (team),10,1038.222,1134.399
pd_N4,matrix,4,empathy α=1.00,10,,
pd_N4,matrix,4,empathy α=0.80,10,,
pd_N4,matrix,4,empathy α=0.50,10,,
pd_N4,matrix,4,empathy α=0.20,10,3002.8,968.223
pd_N4,matrix,4,empathy α=0.00,10,2274.889,1445.889
pd_N4,matrix,4,team,10,1645.333,1218.571
pd_N4,matrix,4,random,10,,
pd_N4,matrix,4,hetero_fixed,10,,
pd_N4,matrix,4,learn_alpha (team),10,3180.0,0.0
sh_N4,matrix,4,empathy α=1.00,10,,
sh_N4,matrix,4,empathy α=0.80,10,,
sh_N4,matrix,4,empathy α=0.50,10,577.0,0.0
sh_N4,matrix,4,empathy α=0.20,10,3711.667,392.841
sh_N4,matrix,4,empathy α=0.00,10,2516.571,1534.254
sh_N4,matrix,4,team,10,3327.0,625.383
sh_N4,matrix,4,random,10,,
sh_N4,matrix,4,hetero_fixed,10,,
sh_N4,matrix,4,learn_alpha (team),10,3495.333,519.381
rs_N4,resource,4,empathy α=1.00,10,158.7,18.685
rs_N4,resource,4,empathy α=0.80,10,164.7,39.956
rs_N4,resource,4,empathy α=0.50,10,162.8,24.307
rs_N4,resource,4,empathy α=0.20,10,170.5,36.67
rs_N4,resource,4,empathy α=0.00,10,156.7,27.657
rs_N4,resource,4,team,10,171.9,39.278
rs_N4,resource,4,random,10,,
rs_N4,resource,4,hetero_fixed,10,158.7,23.195
rs_N4,resource,4,learn_alpha (team),10,145.7,27.162
